Gemeente,statcode,Saldo private verhuur naar koop
Aa en Hunze,GM1680,0
Aalsmeer,GM0358,1
Aalten,GM0197,2
Achtkarspelen,GM0059,-1
Alblasserdam,GM0482,1
Albrandswaard,GM0613,4
Alkmaar,GM0361,1
Almelo,GM0141,1
Almere,GM0034,0
Alphen aan den Rijn,GM0484,1
Alphen-Chaam,GM1723,0
Altena,GM1959,4
Ameland,GM0060,3
Amersfoort,GM0307,2
Amstelveen,GM0362,1
Amsterdam,GM0363,1
Apeldoorn,GM0200,2
Arnhem,GM0202,1
Assen,GM0106,1
Asten,GM0743,-2
Baarle-Nassau,GM0744,-1
Baarn,GM0308,2
Barendrecht,GM0489,1
Barneveld,GM0203,0
Beek,GM0888,-1
Beekdaelen,GM1954,1
Beesel,GM0889,1
Berg en Dal,GM1945,1
Bergeijk,GM1724,1
Bergen (L.),GM0893,2
Bergen (NH.),GM0373,1
Bergen op Zoom,GM0748,1
Berkelland,GM1859,2
Bernheze,GM1721,0
Best,GM0753,1
Beuningen,GM0209,2
Beverwijk,GM0375,2
Bladel,GM1728,1
Blaricum,GM0376,2
Bloemendaal,GM0377,1
Bodegraven-Reeuwijk,GM1901,1
Boekel,GM0755,-3
Borger-Odoorn,GM1681,3
Borne,GM0147,2
Borsele,GM0654,0
Boxtel,GM0757,0
Breda,GM0758,1
Bronckhorst,GM1876,3
Brummen,GM0213,1
Brunssum,GM0899,3
Bunnik,GM0312,-1
Bunschoten,GM0313,-1
Buren,GM0214,-2
Capelle aan den IJssel,GM0502,0
Castricum,GM0383,-1
Coevorden,GM0109,-1
Cranendonck,GM1706,1
Culemborg,GM0216,2
Dalfsen,GM0148,1
Dantumadiel,GM1891,3
De Bilt,GM0310,2
De Fryske Marren,GM1940,0
De Ronde Venen,GM0736,1
De Wolden,GM1690,0
Delft,GM0503,2
Den Helder,GM0400,3
Deurne,GM0762,1
Deventer,GM0150,1
Diemen,GM0384,0
Dijk en Waard,GM1980,0
Dinkelland,GM1774,0
Doesburg,GM0221,0
Doetinchem,GM0222,1
Dongen,GM0766,1
Dordrecht,GM0505,2
Drechterland,GM0498,0
Drimmelen,GM1719,0
Dronten,GM0303,1
Druten,GM0225,0
Duiven,GM0226,2
Echt-Susteren,GM1711,2
Edam-Volendam,GM0385,2
Ede,GM0228,1
Eemnes,GM0317,5
Eemsdelta,GM1979,-1
Eersel,GM0770,0
Eijsden-Margraten,GM1903,1
Eindhoven,GM0772,1
Elburg,GM0230,2
Emmen,GM0114,1
Enkhuizen,GM0388,1
Enschede,GM0153,1
Epe,GM0232,1
Ermelo,GM0233,1
Etten-Leur,GM0777,2
Geertruidenberg,GM0779,0
Geldrop-Mierlo,GM1771,1
Gemert-Bakel,GM1652,1
Gennep,GM0907,1
Gilze en Rijen,GM0784,0
Goeree-Overflakkee,GM1924,2
Goes,GM0664,0
Goirle,GM0785,2
Gooise Meren,GM1942,-1
Gorinchem,GM0512,1
Gouda,GM0513,2
Groningen,GM0014,1
Gulpen-Wittem,GM1729,0
Haaksbergen,GM0158,1
Haarlem,GM0392,2
Haarlemmermeer,GM0394,1
Halderberge,GM1655,1
Hardenberg,GM0160,2
Harderwijk,GM0243,2
Hardinxveld-Giessendam,GM0523,2
Harlingen,GM0072,2
Hattem,GM0244,1
Heemskerk,GM0396,0
Heemstede,GM0397,0
Heerde,GM0246,1
Heerenveen,GM0074,1
Heerlen,GM0917,1
Heeze-Leende,GM1658,2
Heiloo,GM0399,-1
Hellendoorn,GM0163,2
Helmond,GM0794,1
Hendrik-Ido-Ambacht,GM0531,0
Hengelo,GM0164,1
Het Hogeland,GM1966,1
Heumen,GM0252,3
Heusden,GM0797,2
Hillegom,GM0534,-1
Hilvarenbeek,GM0798,2
Hilversum,GM0402,0
Hoeksche Waard,GM1963,2
Hof van Twente,GM1735,1
Hollands Kroon,GM1911,0
Hoogeveen,GM0118,2
Hoorn,GM0405,2
Horst aan de Maas,GM1507,1
Houten,GM0321,3
Huizen,GM0406,1
Hulst,GM0677,1
IJsselstein,GM0353,0
Kaag en Braassem,GM1884,1
Kampen,GM0166,1
Kapelle,GM0678,0
Katwijk,GM0537,0
Kerkrade,GM0928,0
Koggenland,GM1598,1
Krimpen aan den IJssel,GM0542,0
Krimpenerwaard,GM1931,1
Laarbeek,GM1659,1
Land van Cuijk,GM1982,2
Landgraaf,GM0882,2
Landsmeer,GM0415,0
Lansingerland,GM1621,2
Laren,GM0417,2
Leeuwarden,GM0080,1
Leiden,GM0546,0
Leiderdorp,GM0547,2
Leidschendam-Voorburg,GM1916,1
Lelystad,GM0995,2
Leudal,GM1640,0
Leusden,GM0327,3
Lingewaard,GM1705,1
